id,sex,repro,readsite,night,month,year,first_time,time_spent_action,mean_time_bout,sd_time_bout,n,,07:00 p. m.,06:00 a. m.
*989001003024630,female,lactating,carmen,22/05/2015,May,2015,19H 58M 41S,roosting,42411.5,19629.99135,2,,,
*989001003024642,female,lactating,carmen,02/06/2015,Jun,2015,19H 47M 24S,foraging,30450,NA,1,,,
*989001005527032,female,pregnant,carmen,22/04/2016,Apr,2016,21H 8M 1S,roosting,42355,35126.23646,2,,,
*989001003024644,female,lactating,carmen,22/05/2015,May,2015,19H 55M 16S,foraging,14855,15359.7735,2,,,
*989001005527032,female,pregnant,carmen,24/04/2016,Apr,2016,20H 54M 2S,roosting,42016,42284.98551,2,,,
*989001003024644,female,lactating,carmen,23/05/2015,May,2015,19H 48M 41S,foraging,14771,14415.07884,2,,,
*989001003024654,female,lactating,carmen,23/05/2015,May,2015,20H 37M 48S,roosting,41621,26540.54593,2,,,
*989001003024644,female,lactating,carmen,24/05/2015,May,2015,19H 38M 14S,foraging,9684,13270.25241,3,,,
*989001005527061,female,non,carmen,22/04/2016,Apr,2016,19H 56M 16S,roosting,41415.5,90759.45486,6,,,
*989001003024644,female,lactating,carmen,25/05/2015,May,2015,19H 47M 27S,foraging,9876,13507.54534,3,,,
*989001005527081,female,pregnant,carmen,17/04/2016,Apr,2016,19H 43M 21S,roosting,41291,68934.25948,4,,,
*989001003024644,female,lactating,carmen,26/05/2015,May,2015,19H 42M 21S,foraging,7468.25,11003.0438,4,,,
*989001003024676,female,non,carmen,28/05/2015,May,2015,21H 49M 41S,roosting,41264,55401.81631,2,,,
*989001003024644,female,lactating,carmen,27/05/2015,May,2015,19H 48M 21S,foraging,15219.5,15070.56683,2,,,
*989001003024534,female,lactating,carmen,31/05/2015,May,2015,19H 55M 32S,roosting,41253,21788.78836,2,,,
*989001003024644,female,lactating,carmen,28/05/2015,May,2015,19H 46M 47S,foraging,31147,NA,1,,,
*989001005064940,female,pregnant,carmen,22/04/2016,Apr,2016,20H 41M 35S,roosting,41062.5,70123.30161,4,,,
*989001003024644,female,lactating,carmen,29/05/2015,May,2015,19H 48M 34S,foraging,4272.285714,6426.764549,7,,,
*989001005527103,female,non,carmen,20/04/2016,Apr,2016,20H 32M 45S,roosting,40981.25,70563.09742,4,,,
*989001003024644,female,lactating,carmen,30/05/2015,May,2015,19H 54M 15S,foraging,30898,NA,1,,,
*989001005064901,female,pregnant,carmen,22/04/2016,Apr,2016,21H 40M 49S,roosting,40945,38195.07989,2,,,
*989001003024644,female,lactating,carmen,31/05/2015,May,2015,19H 44M 6S,foraging,7508.333333,4001.358811,3,,,
*989001005064917,female,pregnant,carmen,20/04/2016,Apr,2016,20H 7M 55S,roosting,40762,68135.56155,4,,,
